time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
37.1,1.2806248457614224,1.1386348056772835,0.6,2.040000000000001,0.0
37.11,1.2806248457878502,1.1387758641998338,0.6,2.040000000000001,0.0
37.12,1.2806248458138985,1.1389167845059465,0.6,2.040000000000001,0.0
37.13,1.280624845839568,1.1390575668594052,0.6,2.040000000000001,0.0
37.14,1.28062484586486,1.1391982311250874,0.6,2.040000000000001,0.0
37.15,1.280624845889776,1.1393387443689968,0.6,2.040000000000001,0.0
37.160000000000004,1.2806248459143172,1.1394791180468686,0.6,2.040000000000001,0.0
37.17,1.2806248459384855,1.1396193719100423,0.6,2.040000000000001,0.0
37.18,1.2806248459622822,1.1397594874148063,0.6,2.040000000000001,0.0
37.19,1.2806248459856675,1.1398994500287618,0.6,2.040000000000001,0.0
37.2,1.2806248460087257,1.140039294483633,0.6,2.040000000000001,0.0
37.21,1.2806248460314185,1.1401789886897544,0.6,2.040000000000001,0.0
37.22,1.2806248460537493,1.1403185602326071,0.6,2.040000000000001,0.0
37.230000000000004,1.280624846075718,1.140457978922687,0.6,2.040000000000001,0.0
37.24,1.2806248460973297,1.1405972794068324,0.6,2.040000000000001,0.0
37.25,1.2806248461185858,1.1407364292391269,0.6,2.040000000000001,0.0
37.26,1.2806248461394893,1.1408754574987812,0.6,2.040000000000001,0.0
37.27,1.280624846160043,1.1410143499804526,0.6,2.040000000000001,0.0
37.28,1.2806248461802496,1.1411530917945831,0.6,2.040000000000001,0.0
37.29,1.2806248462001129,1.1412916968303324,0.6,2.040000000000001,0.0
37.300000000000004,1.280624846219636,1.1414301668888456,0.6,2.040000000000001,0.0
37.31,1.2806248462388217,1.1415685045246136,0.6,2.040000000000001,0.0
37.32,1.2806248462576744,1.1417067063462067,0.6,2.040000000000001,0.0
37.33,1.2806248462761973,1.141844771761173,0.6,2.040000000000001,0.0
